source,amount
Sale of Gazprom shares,2652577.5874076365
Rental income from 17 apartments,789015.088512527
Casino winnings in Monaco,596716.8249120471
Sold an AI-generated painting,130536.40915898194
Kidney (business class),324382.0204816542
Donation from wife's secret admirer,223606.69421591374
Pawned 18-karat tooth collection,89536.05081429213
Yacht rental income,240607.49974370506
Side hustle: YouTube investment guru,295104.30814384297
Earnings from NFT of dog's face,88574.59435450955
Magical profit from the universe,985294.5742049548
Magical profit from the universe,633595.8732961875
Magical profit from the universe,981226.5418321653
Magical profit from the universe,763564.6927541913
